Fretboard Notes and Frequencies © 2010-2021 by Gary J. Teixeira Jr.

You may contact the writer of this document at: ambientmine@protonmail.com

-24 Frets
    S  6        5       4        3       2        1
    
    0  E1  20  A2  27   D2  36   G2  48  B3  61   E3  82
    1  F1  21  Bb2 29   D#2 38   G#2 51  C3  65   F3  87
    2  F#1 23  B2  30   E2  41   A3  55  C#3 69   F#3 92
    3  G1  24  C2  32   F2  43   Bb3 58  D3  73   G3  97
    4  G#1 25  C#2 34   F#2 46   B3  61  D#3 77   G#3 103
    5  A2  27  D2  36   G2  48   C3  65  E3  82   A4  110
    6  Bb2 29  D#2 38   G#2 51   C#3 69  F3  87   Bb4 116
    7  B2  30  E2  41   A3  55   D3  73  F#3 92   B4  123
    8  C2  32  F2  43   Bb3 58   D#3 77  G3  97   C4  130
    9  C#2 34  F#2 46   B3  61   E3  82  G#3 103  C#4 138
    10 D2  36  G2  48   C3  65   F3  87  A4  110  D4  146
    11 D#2 38  G#2 51   C#3 69   F#3 92  Bb4 116  D#4 155
    12 E2  41  A3  55   D3  73   G3  97  B4  123  E4  164
    13 F2  43  Bb3 58   D#3 77  G#3 103  C4  130  F4  174
    14 F#2 46  B3  61   E3  82  A4  110  C#4 138  F#4 184
    15 G2  48  C3  65   F3  87  Bb4 116  D4  146  G4  195
    16 G#2 51  C#3 69   F#3 92  B4  123  D#4 155  G#4 207
    17 A3  55  D3  73   G3  97  C4  130  E4  164  A5  220
    18 Bb3 58  D#3 77   G#3 103 C#4 138  F4  174  Bb5 233
    19 B3  61  E3  82   A4  110 D4  146  F#4 184  B5  246
    20 C3  65  F3  87   Bb4 116 D#4 155  G4  195  C5  261
    21 C#2 69  F#3 92   B4  123 E4  164  G#4 207  C#5 277
    22 D3  73  G3  97   C4  130 F4  174  A5  220  D5  293
    23 D#3 77  G#3 103  C#4 138 F#4 184  Bb5 233  D#5 311
    24 E3  82  A4  110  D4  146 G4  195  B5  246  E5  329
  
-23 Frets
    S  6       5       4       3       2       1
    
    0  F1  21  Bb2 29  D#2 38  G#2 51  C3  65  F3  87
    1  F#1 23  B2  30  E2  41  A3  55  C#3 69  F#3 92
    2  G1  24  C2  32  F2  43  Bb3 58  D3  73  G3  97
    3  G#1 25  C#2 34  F#2 46  B3  61  D#3 77  G#3 103
    4  A2  27  D2  36  G2  48  C3  65  E3  82  A4  110
    5  Bb2 29  D#2 38  G#2 51  C#3 69  F3  87  Bb4 116
    6  B2  30  E2  41  A3  55  D3  73  F#3 92  B4  123
    7  C2  32  F2  43  Bb3 58  D#3 77  G3  97  C4  130
    8  C#2 34  F#2 46  B3  61  E3  82  G#3 103 C#4 138
    9  D2  36  G2  48  C3  65  F3  87  A4  110 D4  146
    10 D#2 38  G#2 51  C#3 69  F#3 92  Bb4 116 D#4 155
    11 E2  41  A3  55  D3  73  G3  97  B4  123 E4  164
    12 F2  43  Bb3 58  D#3 77  G#3 103 C4  130 F4  174
    13 F#2 46  B3  61  E3  82  A4  110 C#4 138 F#4 184
    14 G2  48  C3  65  F3  87  Bb4 116 D4  146 G4  195
    15 G#2 51  C#3 69  F#3 92  B4  123 D#4 155 G#4 207
    16 A3  55  D3  73  G3  97  C4  130 E4  164 A5  220
    17 Bb3 58  D#3 77  G#3 103 C#4 138 F4  174 Bb5 233
    18 B3  61  E3  82  A4  110 D4  146 F#4 184 B5  246
    19 C3  65  F3  87  Bb4 116 D#4 155 G4  195 C5  261
    20 C#2 69  F#3 92  B4  123 E4  164 G#4 207 C#5 277
    21 D3  73  G3  97  C4  130 F4  174 A5  220 D5  293
    22 D#3 77  G#3 103 C#4 138 F#4 184 Bb5 233 D#5 311
    23 E3  82  A4  110 D4  146 G4  195 B5  246 E5  329
    24 F3  87  Bb4 116 D#4 155 G#4 207 C5  261 F5  349

-22 Frets
    S  6       5       4       3       2        1
    
    0  F#1 23  B2  30  E2  41  A3  55  C#3  69  F#3 92
    1  G1  24  C2  32  F2  43  Bb3 58  D3   73  G3  97
    2  G#1 25  C#2 34  F#2 46  B3  61  D#3  77  G#3 103
    3  A2  27  D2  36  G2  48  C3  65  E3   82  A4  110
    4  Bb2 29  D#2 38  G#2 51  C#3 69  F3   87  Bb4 116
    5  B2  30  E2  41  A3  55  D3  73  F#3  92  B4  123
    6  C2  32  F2  43  Bb3 58  D#3 77  G3   97  C4  130
    7  C#2 34  F#2 46  B3  61  E3  82  G#3  103 C#4 138
    8  D2  36  G2  48  C3  65  F3  87  A4   110 D4  146
    9  D#2 38  G#2 51  C#3 69  F#3 92  Bb4  116 D#4 155
    10 E2  41  A3  55  D3  73  G3  97  B4   123 E4  164
    11 F2  43  Bb3 58  D#3 77  G#3 103 C4   130 F4  174
    12 F#2 46  B3  61  E3  82  A4  110 C#4  138 F#4 184
    13 G2  48  C3  65  F3  87  Bb4 116 D 4  146 G4  195
    14 G#2 51  C#3 69  F#3 92  B4  123 D#4  155 G#4 207
    15 A3  55  D3  73  G3  97  C4  130 E4   164 A5  220
    16 Bb3 58  D#3 77  G#3 103 C#4 138 F4   174 Bb5 233
    17 B3  61  E3  82  A4  110 D4  146 F#4  184 B5  246
    18 C3  65  F3  87  Bb4 116 D#4 155 G4   195 C5  261
    19 C#2 69  F#3 92  B4  123 E4  164 G#4  207 C#5 277
    20 D3  73  G3  97  C4  130 F4  174 A5   220 D5  293
    21 D#3 77  G#3 103 C#4 138 F#4 184 Bb5  233 D#5 311
    22 E3  82  A4  110 D4  146 G4  195 B5   246 E5  329
    23 F3  87  Bb4 116 D#4 155 G#4 207 C5   261 F5  349
    24 F#3 92  B4  123 E4  164 A5  220 C#5  277 F#5 369

-21 Frets 
    S  6       5        4      3        2        1
    
    0  G1  24  C2  32  F2  43  Bb3 58   D3  73   G3  97
    1  G#1 25  C#2 34  F#2 46  B3  61   D#3 77   G#3 103
    2  A2  27  D2  36  G2  48  C3  65   E3  82   A4  110
    3  Bb2 29  D#2 38  G#2 51  C#3 69   F3  87   Bb4 116
    4  B2  30  E2  41  A3  55  D3  73   F#3 92   B4  123
    5  C2  32  F2  43  Bb3 58  D#3 77   G3  97   C4  130
    6  C#2 34  F#2 46  B3  61  E3  82   G#3 103  C#4 138
    7  D2  36  G2  48  C3  65  F3  87   A4  110  D4  146
    8  D#2 38  G#2 51  C#3 69  F#3 92   Bb4 116  D#4 155
    9  E2  41  A3  55  D3  73  G3  97   B4  123  E4  164
    10 F2  43  Bb3 58  D#3 77  G#3 103  C4  130  F4  174
    11 F#2 46  B3  61  E3  82  A4  110  C#4 138  F#4 184
    12 G2  48  C3  65  F3  87  Bb4 116  C4  146  G4  195
    13 G#2 51  C#3 69  F#3 92  B4  123  D#4 155  G#4 207
    14 A3  55  D3  73  G3  97  C4  130  E4  164  A5  220
    15 Bb3 58  D#3 77  G#3 103 C#4 138  F4  174  Bb5 233
    16 B3  61  E3  82  A4  110 D4  146  F#4 184  B5  246
    17 C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    18 C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    19 D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    20 D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    21 E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    22 F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    23 F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    24 G3  97  C4 130  F4  174 Bb5 233  D5  293  G5  391
 
-20 Frets    
    S  6       5       4       3        2        1
    
    0  G#1 25  C#2 34  F#2 46  B3  61   D#3 77   G#3 103
    1  A2  27  D2  36  G2  48  C3  65   E3  82   A4  110
    2  Bb2 29  D#2 38  G#2 51  C#3 69   F3  87   Bb4 116
    3  B2  30  E2  41  A3  55  D3  73   F#3 92   B4  123
    4  C2  32  F2  43  Bb3 58  D#3 77   G3  97   C4  130
    5  C#2 34  F#2 46  B3  61  E3  82   G#3 103  C#4 138
    6  D2  36  G2  48  C3  65  F3  87   A4  110  D4  146
    7  D#2 38  G#2 51  C#3 69  F#3 92   Bb4 116  D#4 155
    8  E2  41  A3  55  D3  73  G3  97   B4  123  E4  164
    9  F2  43  Bb3 58  D#3 77  G#3 103  C4  130  F4  174
    10 F#2 46  B3  61  E3  82  A4  110  C#4 138  F#4 184
    11 G2  48  C3  65  F3  87  Bb4 116  C4  146  G4  195
    12 G#2 51  C#3 69  F#3 92  B4  123  D#4 155  G#4 207    
    13 A3  55  D3  73  G3  97  C4  130  E4  164  A5  220
    14 Bb3 58  D#3 77  G#3 103 C#4 138  F4  174  Bb5 233
    15 B3  61  E3  82  A4  110 D4  146  F#4 184  B5  246
    16 C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    17 C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    18 D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    19 D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    20 E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    21 F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    22 F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    23 G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    24 G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
  
-19 Frets    
    S  6       5       4       3        2        1
    
    0  A2  27  D2  36  G2  48  C3  65   E3  82   A4  110
    1  Bb2 29  D#2 38  G#2 51  C#3 69   F3  87   Bb4 116
    2  B2  30  E2  41  A3  55  D3  73   F#3 92   B4  123
    3  C2  32  F2  43  Bb3 58  D#3 77   G3  97   C4  130
    4  C#2 34  F#2 46  B3  61  E3  82   G#3 103  C#4 138
    5  D2  36  G2  48  C3  65  F3  87   A4  110  D4  146
    6  D#2 38  G#2 51  C#3 69  F#3 92   Bb4 116  D#4 155
    7  E2  41  A3  55  D3  73  G3  97   B4  123  E4  164
    8  F2  43  Bb3 58  D#3 77  G#3 103  C4  130  F4  174
    9  F#2 46  B3  61  E3  82  A4  110  C#4 138  F#4 184
    10 G2  48  C3  65  F3  87  Bb4 116  C4  146  G4  195
    11 G#2 51  C#3 69  F#3 92  B4  123  D#4 155  G#4 207
    12 A3  55  D3  73  G3  97  C4  130  E4  164  A5  220    
    13 Bb3 58  D#3 77  G#3 103 C#4 138  F4  174  Bb5 233
    14 B3  61  E3  82  A4  110 D4  146  F#4 184  B5  246
    15 C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    16 C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    17 D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    18 D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    19 E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    20 F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    21 F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    22 G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    23 G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    24 A4  110 D4  146 G4  195 C5  261  E5  329  A6  440

-18 Frets    
    S  6       5       4       3        2        1
    
    0  Bb2 29  D#2 38  G#2 51  C#3 69   F3  87   Bb4 116
    1  B2  30  E2  41  A3  55  D3  73   F#3 92   B4  123
    2  C2  32  F2  43  Bb3 58  D#3 77   G3  97   C4  130
    3  C#2 34  F#2 46  B3  61  E3  82   G#3 103  C#4 138
    4  D2  36  G2  48  C3  65  F3  87   A4  110  D4  146
    5  D#2 38  G#2 51  C#3 69  F#3 92   Bb4 116  D#4 155
    6  E2  41  A3  55  D3  73  G3  97   B4  123  E4  164
    7  F2  43  Bb3 58  D#3 77  G#3 103  C4  130  F4  174
    8  F#2 46  B3  61  E3  82  A4  110  C#4 138  F#4 184
    9  G2  48  C3  65  F3  87  Bb4 116  C4  146  G4  195
    10 G#2 51  C#3 69  F#3 92  B4  123  D#4 155  G#4 207
